Period,Males - England,Females - England,Males - Wales,Females - Wales,grupo
Jun-01,1399.7,951.5,1470.6,979.0,1
Jun-02,1299.6,889.8,1255.9,911.3,1
Jun-03,1351.2,953.0,1461.8,1036.6,1
Jun-04,1414.4,996.4,1435.8,1047.0,1
Jun-05,1353.0,959.8,1445.8,1057.3,1
Jun-06,1299.9,926.1,1346.8,980.5,1
Jun-07,1184.2,851.4,1287.4,919.2,0
Jun-08,1175.5,839.5,1233.3,866.8,0
Jun-09,1192.5,837.1,1241.5,896.0,0
Jun-10,1190.8,859.1,1239.2,948.0,0
Jun-11,1171.0,830.8,1283.4,860.7,0
Jun-12,1031.4,764.5,1075.1,828.8,0
Jun-13,993.6,727.8,1094.7,778.2,0
Jun-14,1063.2,749.3,1082.0,820.6,0
Jun-15,1107.2,828.8,1228.0,915.0,0
Jun-16,1101.7,811.8,1133.3,855.2,0
Jun-17,1078.4,795.4,1135.2,878.7,0
Jun-18,1007.4,734.4,1112.8,779.3,0
Jun-19,969.4,687.1,1003.6,727.1,0
Jun-20,1030.9,766.3,1116.6,865.9,0
Jun-21,987.6,718.9,1030.3,812.7,0
